song,year_x,num_tokens,num_sentences,avg_sentence_length,lexical_diversity,avg_word_length,nouns,verbs,adjectives,named_entities,modal_verbs,personal_pronouns,question_sentences,year_y,topic
16th Century Man (2000),2000.0,233,20,11.65,0.5493562231759657,4.111587982832618,49,30,21,0,1,30,0,2000.0,0
2 Fingers of Whiskey (2017),2017.0,230,30,7.666666666666667,0.3782608695652174,3.643478260869565,36,42,18,0,0,32,1,2017.0,1
5th Avenue (2013),2013.0,142,19,7.473684210526316,0.6338028169014085,3.8028169014084505,24,20,8,0,0,14,0,2013.0,1
71-75 New Oxford Street,,2,1,2.0,1.0,6.5,0,1,0,0,0,0,0,,1
A Dandelion Dies in the Wind (2021),2021.0,202,26,7.769230769230769,0.4356435643564356,3.727722772277228,43,34,9,0,2,28,0,2021.0,1
A Dandelion Dies In The Wind (Piano Demo) (2020),2020.0,247,28,8.821428571428571,0.3846153846153846,3.651821862348178,51,43,9,0,2,36,0,2020.0,1
A Dream Come True (2010),2010.0,154,8,19.25,0.5,3.51948051948052,24,31,7,0,1,27,0,2010.0,0
A Good Heart (2016),2016.0,238,25,9.52,0.3571428571428571,3.210084033613445,33,31,15,0,0,47,0,2016.0,1
A Little Light (2025),2025.0,367,47,7.808510638297872,0.4196185286103542,3.6948228882833782,70,58,18,0,2,55,6,2025.0,0
A Step Too Far,,416,62,6.709677419354839,0.2379807692307692,3.4375,53,42,20,0,6,73,15,,1
A Town Called Jubilee,,317,44,7.204545454545454,0.4353312302839117,3.7444794952681386,64,57,20,0,2,16,0,,0
A Word in Spanish (1988),1988.0,196,8,24.5,0.5510204081632653,3.698979591836735,27,34,8,0,3,41,0,1988.0,1
Abide with Me,,155,15,10.333333333333334,0.5419354838709678,3.567741935483871,28,21,8,0,0,17,0,,0
Act of War (1985),1985.0,339,29,11.689655172413794,0.4011799410029498,3.268436578171092,69,49,8,0,4,62,0,1985.0,1
After All (2021),2021.0,280,18,15.555555555555555,0.3464285714285714,3.175,16,36,13,0,1,53,0,2021.0,1
After All This Time,,330,27,12.22222222222222,0.4787878787878787,3.821212121212121,47,44,12,0,6,72,8,,0
Ain’t Nothing Like The Real Thing (1993),1993.0,172,13,13.23076923076923,0.5406976744186046,3.581395348837209,24,26,11,0,2,41,0,1993.0,0
All Across the Havens (1969),1969.0,167,12,13.916666666666666,0.4431137724550898,4.029940119760479,30,24,7,0,8,29,0,1969.0,0
All Quiet on the Western Front (1982),1982.0,162,13,12.461538461538462,0.5308641975308642,4.018518518518518,28,18,28,0,0,6,0,1982.0,0
All That I’m Allowed (I’m Thankful),,215,16,13.4375,0.5023255813953489,3.558139534883721,24,38,12,0,1,38,0,,0
All the Girls Love Alice (1973),1973.0,315,31,10.161290322580646,0.4031746031746032,3.380952380952381,44,39,20,0,3,48,6,1973.0,1
All the Nasties (1971),1971.0,285,18,15.833333333333334,0.2280701754385964,3.280701754385965,51,28,14,0,12,70,1,1971.0,1
All the Way Down to El Paso,,106,17,6.235294117647059,0.5471698113207547,3.5660377358490565,15,11,10,0,2,11,0,,0
Always Love You (2021),2021.0,651,36,18.08333333333333,0.3072196620583717,3.3317972350230414,50,116,17,0,22,152,1,2021.0,0
Amazes Me (1989),1989.0,134,26,5.153846153846154,0.6567164179104478,3.873134328358209,28,19,12,0,1,32,0,1989.0,1
Amen (1994),1994.0,236,29,8.137931034482758,0.2415254237288135,3.135593220338983,13,16,2,0,0,6,0,1994.0,1
American Triangle,,315,39,8.076923076923077,0.346031746031746,3.707936507936508,65,40,46,0,0,30,0,,1
Amoreena (1970),1970.0,378,53,7.132075471698113,0.2751322751322751,3.928571428571429,70,51,17,0,6,35,0,1970.0,1
Amy (1972),1972.0,317,20,15.85,0.3659305993690852,3.2460567823343847,35,42,8,0,9,69,0,1972.0,1
And the Clock Goes Round (2021),2021.0,155,11,14.090909090909092,0.5870967741935483,3.554838709677419,23,25,7,0,0,21,0,2021.0,0
And The House Fell Down,,245,14,17.5,0.5510204081632653,3.7020408163265306,39,40,11,0,1,38,0,,0
Angel Tree (2021),2021.0,92,11,8.363636363636363,0.7065217391304348,4.010869565217392,17,8,8,0,0,7,3,2021.0,1
Angeline (1986),1986.0,608,82,7.414634146341464,0.1842105263157894,3.286184210526316,38,61,12,0,0,55,0,1986.0,1
Annabella Umberella,,106,13,8.153846153846153,0.6698113207547169,4.028301886792453,13,20,4,0,1,17,0,,0
Another Pyramid,,282,33,8.545454545454545,0.5141843971631206,3.9609929078014185,58,42,14,0,7,45,0,,0
Answer In The Sky,,212,14,15.142857142857142,0.4811320754716981,3.6273584905660377,31,30,8,0,4,34,0,,0
Anyone Who Had a Heart (2005),2005.0,404,14,28.857142857142858,0.1831683168316831,2.992574257425743,23,63,5,0,14,95,3,2005.0,1
Are You Ready for Love (1979),1979.0,762,68,11.205882352941176,0.1089238845144357,2.8307086614173227,60,33,72,0,3,180,35,1979.0,0
Are You Ready for Love (’79 Version Radio Edit) (2003),2003.0,323,35,9.228571428571428,0.2445820433436532,3.0557275541795668,31,25,24,0,3,79,11,2003.0,0
Back in the U.S.S.R.,,183,25,7.32,0.5027322404371585,3.7704918032786887,26,24,8,0,0,29,0,,0
Bad Side of the Moon (1970),1970.0,253,29,8.724137931034482,0.3162055335968379,3.395256916996048,53,26,14,0,1,54,0,1970.0,1
Ball and Chain (1982),1982.0,171,9,19.0,0.4619883040935672,3.3625730994152048,24,27,6,0,2,33,0,1982.0,1
Ballad of a Well-Known Gun (1970),1970.0,286,31,9.225806451612904,0.3251748251748251,3.4055944055944054,26,56,18,0,0,69,0,1970.0,0
Ballad of the Boy in the Red Shoes,,218,22,9.909090909090908,0.4678899082568807,3.853211009174312,34,36,13,0,0,41,0,,0
Belfast (1995),1995.0,233,34,6.852941176470588,0.5493562231759657,4.008583690987124,50,32,21,0,1,21,0,1995.0,0
Believe (1995),1995.0,166,20,8.3,0.4518072289156626,4.090361445783133,38,32,1,0,0,30,0,1995.0,1
Bennie and the Jets (1974),1974.0,419,33,12.696969696969695,0.2291169451073985,3.2816229116945106,28,30,20,0,1,44,3,1974.0,1
Bennie and the Jets (2018 Version) (2018),2018.0,452,46,9.826086956521738,0.334070796460177,3.396017699115044,49,44,24,0,2,56,2,2018.0,1
Bennie And The Jets (Spotify Singles) (2018),2018.0,335,37,9.054054054054054,0.2865671641791045,3.444776119402985,26,28,20,0,1,41,4,2018.0,1
Better Off Dead (1975),1975.0,271,25,10.84,0.4391143911439114,3.664206642066421,48,28,26,0,2,25,0,1975.0,0
Between Seventeen and Twenty (1976),1976.0,337,36,9.36111111111111,0.2759643916913946,3.305637982195845,33,31,27,0,1,59,1,1976.0,0
Big Dipper (1978),1978.0,353,31,11.387096774193548,0.3257790368271954,3.603399433427762,58,49,43,0,1,58,0,1978.0,0
Big Man in a Little Suit,,432,34,12.705882352941176,0.3101851851851852,3.3125,65,46,44,0,4,84,1,,1
